фрукт,овощ,животное,инструмент,лекарство
яблоко,фрукт
банан,фрукт
апельсин,фрукт
абрикос,фрукт
алыча,фрукт
персик,фрукт
слива,фрукт
черешня,фрукт
вишня,фрукт
хурма,фрукт
гранадилла,фрукт
инжир,фрукт
эшта,фрукт
айва,фрукт
нектарин,фрукт
лонган,фрукт
гранат,фрукт
ананас,фрукт
гуанабана,фрукт
лайм,фрукт
огурец,овощ
помидор,овощ
свёкла,овощ
горох,овощ
репа,овощ
перец,овощ
тыква,овощ
укроп,овощ
фасоль,овощ
хрен,овощ
кукуруза,овощ
капуста,овощ
кабачок,овощ
шпинат,овощ
щавель,овощ
морковь,овощ
лук,овощ
картофель,овощ
авокадо,овощ
артишок,овощ
нож,инструмент
молоток,инструмент
пила,инструмент
гвоздодёр,инструмент
ножницы,инструмент
плоскогубцы,инструмент
стеклорез,инструмент
болторез,инструмент
труборез,инструмент
надфиль,инструмент
термопистолет,инструмент
тиски,инструмент
лом,инструмент
ключ,инструмент
точило,инструмент
шестигранник,инструмент
лобзик,инструмент
домкрат,инструмент
струбцина,инструмент
отвёртка,инструмент
кот,животное
собака,животное
корова,животное
курица,животное
свинья,животное
гусь,животное
ёж,животное
петух,животное
заяц,животное
белка,животное
крыса,животное
мышь,животное
енот,животное
попугай,животное
лось,животное
медведь,животное
кабан,животное
лиса,животное
волк,животное
лошадь,животное
вальтарен,лекарство
дифлюкан,лекарство
иммунал,лекарство
лазолван,лекарство
ламизил,лекарство
нурофен,лекарство
омез,лекарство
панангин,лекарство
флюкостат,лекарство
капотен,лекарство
панадол,лекарство
мовалис,лекарство
ксеникал,лекарство
гептрал,лекарство
кларитин,лекарство
бепантен,лекарство
бетасерк,лекарство
дипоросалик,лекарство
кавинтон,лекарство
